------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------,,,,,,,,,,
收/支                 ,交易对方                ,对方账号                ,商品说明                ,收/付款方式              ,金额                  ,交易状态                ,交易分类                ,交易订单号     ,商家订单号           ,交易时间            
支出                  ,马  ,,,花呗                  ,,交易成功                ,,,,2021/10/1 19:32
支出                  ,美  ,,,花呗                  ,,交易成功                ,,,,2021/10/1 12:17
其他                  ,尼,,,花呗                  ,,退款成功                ,,,,2021/10/1 9:20
------------------------------------------------------------------------------------,,,,,,,,,,
导出信息：,,,,,,,,,,
姓名：,,,,,,,,,,
支付宝账户：,,,,,,,,,,
起始时间：[2021-09-01 00:00:00]    终止时间：[2021-10-01 23:59:59],,,,,,,,,,
导出时间：[2021-10-13 21:03:48],,,,,,,,,,
共笔记录,,,,,,,,,,
收入：,,,,,,,,,,
支出：,,,,,,,,,,
其他：,,,,,,,,,,
,,,,,,,,,,
特别提示：,,,,,,,,,,
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；,,,,,,,,,,
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；,,,,,,,,,,
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；,,,,,,,,,,
4.本回单如经任务涂改、编造，均立即失去效力；,,,,,,,,,,
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为其他类；,,,,,,,,,,
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；,,,,,,,,,,
7.禁止将本回单用于非法用途；,,,,,,,,,,
8.本明细仅展示当前账单中的交易，不包括已删除的记录；,,,,,,,,,,
9.本明细仅供个人对账使用。,,,,,,,,,,
